Date,Close,High,Low,Open,Volume
2003-03-12,7.256712436676025,7.571684384756104,6.381789660622887,6.381789660622887,24669040
2003-03-13,7.411109924316406,7.684909640135528,7.1640727697773,7.1640727697773,23553560
2003-03-14,7.411109924316406,7.411109924316406,7.411109924316406,7.411109924316406,0
2003-03-17,7.040554523468018,7.411109859374869,6.902625126057622,7.411109859374869,3533080
2003-03-18,7.040554523468018,7.040554523468018,7.040554523468018,7.040554523468018,0
2003-03-19,7.277298450469971,7.365820110714119,7.110548967231547,7.164073308507078,2137240
2003-03-20,7.5572733879089355,7.8722460976716615,7.205245850542423,7.23818408587538,8665540
2003-03-21,7.63961935043335,7.896949558759402,7.534628185663014,7.534628185663014,4546980
2003-03-24,8.294265747070312,8.473367315120628,7.884595794644015,8.028700838551677,15818280
2003-03-25,8.975676536560059,9.140368483168752,8.102812989019117,8.25103542684318,31668880
2003-03-26,9.045672416687012,9.543864175356237,8.934506348577477,9.00861679888064,33125460
2003-03-27,8.539243698120117,9.123897836820207,8.440429013660719,9.060079676200692,20628560
2003-03-28,9.652970314025879,9.916476186906522,8.4404305401299,8.4404305401299,53603440
2003-03-31,9.023028373718262,9.665324465716612,8.934506703806774,9.38740732111905,30536520
2003-04-01,9.500630378723145,9.811484884704791,9.097136067335155,9.22271331843223,24699800
2003-04-02,9.708551406860352,9.797073037082404,9.49033516730913,9.630322825087761,11719560
2003-04-03,9.73119831085205,10.033818857865548,9.675614896993894,9.803250448088885,11939360
2003-04-04,9.62003231048584,9.815603423774714,9.593269749220761,9.720906096602237,6654500
2003-04-07,9.72502326965332,9.850599747667207,9.648852964985739,9.675615525688118,5479520
2003-04-08,10.313794136047363,10.737874589763807,9.675615552056762,9.675615552056762,25894860
2003-04-09,10.525834083557129,10.86345115987163,10.336438659460335,10.336438659460335,14023080
2003-04-10,10.037936210632324,10.622590463117684,9.963825771846398,10.622590463117684,5010260
2003-04-11,10.214980125427246,10.453782536589717,9.922653374396248,10.066758453701594,2732600
2003-04-14,10.214980125427246,10.214980125427246,10.214980125427246,10.214980125427246,0
2003-04-15,10.546419143676758,11.322526997565161,10.398196720773285,10.457897506143775,5449060
